# ----------------------------------------
# Onerway Checkout
# 收银台全局数据-收银台平均加载时长
# 20240708-20240721
# ----------------------------------------

日期,20240715,20240715,20240720,20240720,20240716,20240716,20240717,20240717,20240714,20240714,20240710,20240710,20240718,20240718,20240719,20240719,20240721,20240721,20240709,20240709,20240713,20240713,20240708,20240708,20240712,20240712,20240711,20240711,合计,合计
国家/地区,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数,new_page_load_time per views,用户总数
Croatia,2335.0594405594406,42,2251.2846153846153,26,2394.9132530120482,49,2963.2776315789474,42,3686.275833333333,38,3054.47476635514,41,2708.523121387283,50,2895.5333333333333,36,3602.0460674157302,31,2595.2161849710983,42,2433.961666666667,36,3621.620731707317,28,2845.846846846847,37,2543.8028776978417,46,2799.743767467859,422
Bulgaria,2005.3201550387596,36,2362.818918918919,17,1931.841237113402,28,2200.079120879121,26,2815.2955223731346,22,2304.268,19,2284.444262286885,32,2481.5873873873875,39,2418.992156862745,22,2418.617272727273,32,4026.659090909091,28,2455.6313725490195,22,2408.303225806452,25,2546.5123076923073,29,2454.7349840239617,281
Indonesia,2399.3708333333334,31,2285.7032608695654,25,2200.2820512820513,30,1766.1924999999999,25,1982.6828282828283,33,1598.9636363636364,20,2255.490476190476,23,2901.54,33,2838.9409090909094,29,3591.216853932584,34,2839.0052631578947,22,2374.1459459459456,27,2854.561428571428,23,3164.113432835821,24,2476.782982616651,325
Türkiye,3443.175531914894,30,3744.951497005988,44,3316.005357142857,31,3150.122680412371,30,2453.176404494382,29,2808.0788732394367,31,2315.338,38,3142.640983590164,38,2087.608888888889,35,2814.244642857143,39,3494.501829268293,34,2829.8767857142857,32,3450.852755905512,32,3420.4590163934427,22,3026.076896550575,368
South Africa,2979.385393235955,26,4327.365060253012,31,3806.1705882352944,28,3000.84,22,3933.956060606061,32,3707.5644628016526,42,7230.75238095238,16,3260.628915662651,21,3323.935,29,2562.2218905472637,46,4211.948,28,3894.5258278079473,41,3901.063529411765,27,3507.0911764705884,30,3636.2138606654576,298
Serbia,1556.2638297872338,23,2199.015,15,2913.082352941177,16,1837.0317647058826,25,1684.6822916666667,20,2381.1839999999997,21,2493.2065789473686,24,1430.6979591836734,13,1499.724561403509,16,2242.7023529411767,18,2279.457777777778,14,1810.1676056338026,18,1701.886746987952,19,1755.3373134328358,21,1960.690643863179,208
Latvia,3283.8723684210527,20,1482.7853448275862,23,2251.739814814815,38,2337.9182539682542,43,2519.9479452054798,22,2780.296,19,2293.2976,41,1779.4914285714285,22,1587.6155555555556,19,3210.1517241379306,19,4152.827659574468,12,2680.5597560975607,23,2456.5017857142857,17,2730.342307673077,18,2440.685239851476,260
Slovenia,2751.154237288136,20,2914.33,21,2178.651515151515,21,2251.1401960784315,24,2078.6324675324677,24,1707.9529411764706,18,2462.2360000000003,24,2183.19,18,1627.8719298245614,8,4521.2733333333335,11,2511.6622641509434,19,2823.3729166666667,13,3404.4118644067794,22,2291.8215686274507,19,2427.9149082568806,208
Singapore,2840.3020618556698,19,2086.0232558139537,17,4038.308620689655,18,4304.860810810811,20,2839.5205479452056,22,3648.5,14,1841.874025974026,21,3317.423076923077,14,2853.6022222222223,15,4872.25,10,2199.6771084457832,23,2613.896296296296,15,3256.247457627119,10,2009.8953125,19,2953.0970344021353,195
India,5054.05,18,4216.743243283784,20,6060.761290322581,13,3896.4738095238095,15,4485.094,21,4783.015384615384,15,3510.796923076923,18,5011.22839508642,28,3682.5941176470587,18,4509.7299999875,23,4070.0689655172414,13,5621.581481537037,21,3311.735294117647,17,5981.327777777778,19,4558.338709686827,203
Estonia,2188.858333333333,17,3699.635135135135,18,1810.9766666666667,28,2024.212857142857,20,1621.465,14,2211.1346153846152,18,1849.2027777777778,24,1507.4634146341464,20,1582.154054054054,14,2883.83488372093,24,2189.525396825397,21,2508.8303030303027,29,1600.7328571428573,22,2125.4875,25,2060.4523529411763,229
Hong Kong,2050.9210526315787,17,4195.544444444445,18,2150.046875,29,1510.9116279069767,17,1427.5283018867924,21,1598.6410714285714,22,1415.9672727272728,25,9084.188732394367,22,2728.839520958084,28,1924.4333333333334,28,1310.4790697674418,17,1561.9631578947367,27,1732.559375,21,1895.9082575757577,26,2471.312922874671,299
Israel,1911.8222222222223,17,2723.640625,12,4125.013888888889,24,4500.414705882353,23,2776.8270270270273,14,2451.072602739726,24,3423.0064935064934,20,2308.5716417910444,24,1889.332584269663,26,1915.9984126984125,11,4957.380882161764,19,3809.253333333333,16,1930.923076923077,16,2597.4913043478264,18,2949.577136243649,216
United Arab Emirates,3295.294736842105,15,2902.275,20,9084.915625,15,2364.1828125,15,3317.597959183673,23,2421.9666666666667,16,4243.243333333334,25,2919.99000002,19,2837.9703703703703,22,2596.053488372093,17,2596.0155555555557,18,2413.1296296296296,18,2448.762121212121,25,3534.3529411764707,9,3161.439940829882,200
Malta,1545.4173333333333,12,2072.5157894736844,5,1771.8483870967743,9,2220.3,1,945.3666666666667,5,2033.9416666666666,5,1730.3095238095239,6,2927.17619047619,7,2157.8322580645163,11,1874.384,6,3281.423076923077,6,3482.005,8,2541.4083333333333,4,1715.8666666666666,7,1967.7079881656807,77
Malaysia,2600.403846153846,10,4926.622222222222,9,3429.4159999999997,7,3503.9208333333336,9,7076.844444444444,5,3392.1052631578946,11,4614.2625,11,2471.7314285714288,14,2777.28125,8,4018.266666666667,9,1949.142857142857,9,2698.4333333333334,5,3964.0923076923073,2,2136.16,6,3370.904912280702,90
Philippines,4458.658064516128,10,5647.048888888889,10,5640.644444444444,8,3009.2823529411767,11,3948.3865384615387,12,6426.34375,7,2561.0833334047616,16,3837.1545454545453,7,3270.9666666666667,5,3906.1393939393943,7,1793.55,4,4026.733333296296,8,2883.7607142857146,11,3080.173333333333,12,3935.2974937393483,102

